formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_17196.hoa,?,?,daisy2,6,3,7,1.2,0.062,True,G(Fa & F!a)
aut_17200.hoa,?,?,daisy2,6,2,8,1.3,0.065,True,GF(!a & X!a)
aut_17202.hoa,?,?,buchi,3,1,3,1.0,1.104,True,F!a
aut_17203.hoa,?,?,buchi,46,9,376,8.2,1.115,True,F(!a & X!a) & ((a U (!a & X!a)) | ((a | Xa) U (a & X(a U (!a & X!a))))) & (((!a …
aut_17206.hoa,?,?,buchi,3,1,3,1.0,1.107,True,F!a
aut_17212.hoa,?,?,daisy2,6,2,8,1.3,0.064,True,GF(!a & X!a)
aut_17216.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_17218.hoa,?,?,buchi,3,1,3,1.0,1.107,True,F!a
aut_17222.hoa,?,?,buchi,3,1,3,1.0,1.111,True,F!a
aut_17248.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17250.hoa,?,?,buchi,3,1,3,1.0,1.109,True,F!a
aut_17252.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_17254.hoa,?,?,buchi,3,1,3,1.0,1.105,True,F!a
aut_17256.hoa,?,?,daisy2,4,2,4,1.0,0.061,True,GF!a
aut_17260.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17266.hoa,?,?,buchi,3,1,3,1.0,1.105,True,F!a
aut_17270.hoa,?,?,buchi,3,1,3,1.0,1.109,True,F!a
aut_17280.hoa,?,?,daisy2,6,2,7,1.2,0.066,True,GF(!a & Xa)
aut_17282.hoa,?,?,buchi,726,129,739611,1018.7,1.217,UNVERIFIED_SIZE,<unflattened DAG: 739611 tree nodes>
aut_17284.hoa,?,?,daisy2,6,3,7,1.2,0.064,True,G(Fa & F!a)
aut_17286.hoa,?,?,buchi,726,129,739611,1018.7,1.216,UNVERIFIED_SIZE,<unflattened DAG: 739611 tree nodes>
aut_17344.hoa,?,?,daisy2,6,2,8,1.3,0.064,True,GF(!a & X!a)
aut_17346.hoa,?,?,buchi,3,1,3,1.0,1.106,True,F!a
aut_17347.hoa,?,?,-,,,,,0.582,NOT_LTL,
aut_17348.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17350.hoa,?,?,buchi,3,1,3,1.0,1.105,True,F!a
aut_17474.hoa,?,?,buchi,6899,1184,244623717373390601115304,35457851481865576448.0,1.501,UNVERIFIED_SIZE,<unflattened DAG: 244623717373390601115304 tree nodes>
aut_17475.hoa,?,?,buchi,17073,3162,41404651671508723600705218,2425153849441148469248.0,2.065,UNVERIFIED_SIZE,<unflattened DAG: 41404651671508723600705218 tree nodes>
aut_17507.hoa,?,?,acc,1,0,1,1.0,1.099,True,1
aut_17522.hoa,?,?,acc,1,0,1,1.0,1.105,True,1
aut_17538.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_17539.hoa,?,?,buchi,11739,1724,8031191336912167,684146122916.1,2.167,UNVERIFIED_SIZE,<unflattened DAG: 8031191336912167 tree nodes>
aut_17602.hoa,?,?,buchi,13070,1844,22313144827911142536,1707203123788151.8,2.086,UNVERIFIED_SIZE,<unflattened DAG: 22313144827911142536 tree nodes>
aut_17603.hoa,?,?,-,,,,,0.582,NOT_LTL,
aut_17936.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_17938.hoa,?,?,acc,1,0,1,1.0,1.100,True,1
aut_17939.hoa,?,?,acc,1,0,1,1.0,1.105,True,1
aut_17940.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_17943.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_17944.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_17948.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_17952.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_17954.hoa,?,?,buchi,8,3,16,2.0,1.131,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_17955.hoa,?,?,acc,1,0,1,1.0,1.105,True,1
aut_17959.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_17960.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_17968.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17970.hoa,?,?,acc,1,0,1,1.0,1.110,True,1
aut_17971.hoa,?,?,buchi,8,3,15,1.9,1.109,True,(a R F!a) & G(a | X(a R F!a))
aut_17972.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_17975.hoa,?,?,buchi,9,3,14,1.6,1.124,True,X(F!a & G(a | X(a R F!a)))
aut_17976.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17980.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_17987.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_17991.hoa,?,?,acc,1,0,1,1.0,1.109,True,1
aut_18019.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_18023.hoa,?,?,acc,1,0,1,1.0,1.110,True,1
aut_18032.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_18034.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_18035.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_18036.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_18039.hoa,?,?,acc,1,0,1,1.0,1.099,True,1
aut_18040.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_18044.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_18051.hoa,?,?,acc,1,0,1,1.0,1.110,True,1
aut_18055.hoa,?,?,acc,1,0,1,1.0,1.098,True,1
aut_18115.hoa,?,?,buchi,8,2,12,1.5,1.106,True,F!a & G(a | XXF!a)
aut_18119.hoa,?,?,buchi,8,2,12,1.5,1.105,True,F!a & G(a | XXF!a)
aut_18192.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
