input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
randltl-10-a-hoa-4.txt,LTL,daisy,0.074,XFg,3,1,3,1.0,b49734c707c1,TRUE,0.042,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.072,h M e,3,1,3,1.0,b653902c0324,TRUE,0.040,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.067,a,1,0,1,1.0,883cb92c9ed3,TRUE,0.043,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.071,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.044,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.073,a M g,3,1,3,1.0,883704efbb3c,TRUE,0.046,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy+strength2,0.074,h W b,3,1,3,1.0,686d3b4267ad,TRUE,0.045,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-9.txt
g,LTL,daisy,0.070,g,1,0,1,1.0,bffe89fde577,TRUE,0.045,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:1
d R e,LTL,daisy+strength2,0.073,d R e,3,1,3,1.0,54dd0197887b,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:2
!h,LTL,daisy,0.072,!h,2,0,2,1.0,2c0b951079eb,TRUE,0.043,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:3
XFg,LTL,daisy,0.071,XFg,3,1,3,1.0,b49734c707c1,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:4
h M e,LTL,daisy,0.073,h M e,3,1,3,1.0,b653902c0324,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:5
a,LTL,daisy,0.070,a,1,0,1,1.0,883cb92c9ed3,TRUE,0.045,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:6
b,LTL,daisy,0.072,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.041,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:7
a M g,LTL,daisy,0.070,a M g,3,1,3,1.0,883704efbb3c,TRUE,0.042,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:8
h W b,LTL,daisy+strength2,0.069,h W b,3,1,3,1.0,686d3b4267ad,TRUE,0.042,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:9
c W d,LTL,daisy+strength2,0.074,c W d,3,1,3,1.0,4afae9288bd0,TRUE,0.045,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:10
